,SUT,Paths,Methods,Operations,Parametric Operations,Parametered Operations,Used Parameters,Distinct Parameters,Parameters Per Operations,Path Depth,Path Depth Variance,Example Rate,Default Rate,Type,Method Count
11,azure_datacatalog_2016-03-30,3,4,6,6,6,30,9,5.0,7.0,3.3333333333333335,0.0,0.0,"{""string"": {""num"": 30, ""format"": []}, ""object"": {""num"": 2, ""format"": []}}","{""get"": 3, ""put"": 1, ""delete"": 1, ""patch"": 1}"
12,walmart_price_1_0_0,3,2,3,1,3,30,20,10.0,2.0,0.0,0.0,0.0,"{""string"": {""num"": 18, ""format"": [""binary"", ""date-time""]}, ""object"": {""num"": 3, ""format"": []}, ""boolean"": {""num"": 2, ""format"": []}, ""number"": {""num"": 2, ""format"": []}}","{""post"": 2, ""put"": 1}"
13,apisetu_hpsssb_3_0_0,1,1,1,0,1,6,6,6.0,2.0,0.0,0.6666666666666666,0.0,"{""object"": {""num"": 1, ""format"": []}, ""string"": {""num"": 4, ""format"": [""uuid""]}, ""integer"": {""num"": 1, ""format"": []}}","{""post"": 1}"
14,azure_network-bastionHost_2019-04-01,3,3,5,5,5,21,8,4.2,7.2,1.3599999999999999,0.0,0.0,"{""string"": {""num"": 21, ""format"": []}, ""object"": {""num"": 1, ""format"": []}}","{""get"": 3, ""put"": 1, ""delete"": 1}"
15,azure_azsadmin-farms_2015-12-01-preview,6,4,8,8,8,40,9,5.0,8.5,0.75,0.0,0.0,"{""string"": {""num"": 40, ""format"": []}, ""object"": {""num"": 2, ""format"": []}}","{""get"": 5, ""put"": 1, ""patch"": 1, ""post"": 1}"
16,interzoid_getweatherzip_1_0_0,1,1,1,1,1,2,2,2.0,1.0,0.0,0.0,0.0,"{""string"": {""num"": 2, ""format"": []}}","{""get"": 1}"
17,azure_machinelearningservices-modelManagement_2019-08-01,13,4,23,23,23,197,61,8.565217391304348,12.08695652173913,0.6880907372400756,0.08629441624365482,0.030456852791878174,"{""string"": {""num"": 176, ""format"": [""uuid"", ""date-time""]}, ""integer"": {""num"": 6, ""format"": []}, ""object"": {""num"": 5, ""format"": []}, ""array"": {""num"": 3, ""format"": []}, ""boolean"": {""num"": 9, ""format"": []}}","{""get"": 10, ""post"": 7, ""delete"": 3, ""patch"": 3}"
18,azure_sql-advisors_2015-05-01-preview,6,2,9,9,9,60,10,6.666666666666667,11.666666666666666,2.888888888888889,0.0,0.0,"{""string"": {""num"": 60, ""format"": []}, ""object"": {""num"": 3, ""format"": []}}","{""get"": 6, ""patch"": 3}"
19,onsched_consumer_v1,33,4,38,36,37,279,89,7.342105263157895,4.2368421052631575,1.0228531855955674,0.0,0.0,"{""string"": {""num"": 221, ""format"": [""date-time""]}, ""integer"": {""num"": 44, ""format"": []}, ""object"": {""num"": 7, ""format"": []}, ""boolean"": {""num"": 12, ""format"": []}}","{""get"": 27, ""post"": 2, ""delete"": 2, ""put"": 7}"
20,azure_mariadb-QueryPerformanceInsights_2018-06-01,6,1,6,6,6,37,14,6.166666666666667,9.5,0.25,0.0,0.0,"{""string"": {""num"": 36, ""format"": [""date-time""]}, ""array"": {""num"": 1, ""format"": []}, ""object"": {""num"": 2, ""format"": []}, ""integer"": {""num"": 1, ""format"": []}}","{""get"": 6}"
21,azure_security-discoveredSecuritySolutions_2015-06-01-preview,3,1,3,3,3,10,5,3.3333333333333335,7.333333333333333,4.222222222222222,0.0,0.0,"{""string"": {""num"": 10, ""format"": []}}","{""get"": 3}"
22,azure_resourcegraph_2018-09-01-preview,4,2,4,4,4,21,14,5.25,3.0,0.0,0.0,0.047619047619047616,"{""string"": {""num"": 16, ""format"": [""date-time""]}, ""object"": {""num"": 3, ""format"": []}, ""integer"": {""num"": 4, ""format"": []}}","{""get"": 1, ""post"": 3}"
23,apisetu_dittripura_3_0_0,18,1,18,0,18,90,5,5.0,2.0,0.0,0.6,0.0,"{""object"": {""num"": 18, ""format"": []}, ""string"": {""num"": 54, ""format"": [""uuid""]}, ""integer"": {""num"": 18, ""format"": []}}","{""post"": 18}"
24,gamesparks_game-details_v2,56,4,76,73,73,263,68,3.460526315789474,6.065789473684211,1.6930401662049863,0.0,0.045627376425855515,"{""string"": {""num"": 231, ""format"": [""date"", ""binary"", ""date-time""]}, ""object"": {""num"": 24, ""format"": []}, ""integer"": {""num"": 12, ""format"": []}, ""boolean"": {""num"": 12, ""format"": []}}","{""get"": 33, ""put"": 7, ""post"": 29, ""delete"": 7}"
25,evemarketer_1_0_1,2,2,4,2,4,12,3,3.0,1.5,0.25,0.0,0.0,"{""array"": {""num"": 2, ""format"": []}, ""integer"": {""num"": 12, ""format"": []}, ""object"": {""num"": 2, ""format"": []}}","{""get"": 2, ""post"": 2}"
26,azure_azsadmin-Backup_2016-05-01,1,1,1,1,1,1,1,1.0,3.0,0.0,0.0,1.0,"{""string"": {""num"": 1, ""format"": []}}","{""get"": 1}"
27,interzoid_getglobalnumberinfo_1_0_0,1,1,1,1,1,2,2,2.0,1.0,0.0,0.0,0.0,"{""string"": {""num"": 2, ""format"": []}}","{""get"": 1}"
28,miataru_1_0_0,5,2,5,1,5,15,10,3.0,1.2,0.16000000000000006,0.0,1.0,"{""object"": {""num"": 4, ""format"": []}, ""string"": {""num"": 15, ""format"": []}}","{""post"": 4, ""get"": 1}"
29,rapidapi_spellcheckpro_1_0_0,1,1,1,0,1,3,3,3.0,1.0,0.0,1.0,0.0,"{""string"": {""num"": 3, ""format"": []}, ""object"": {""num"": 1, ""format"": []}}","{""post"": 1}"
30,callcontrol_2015-11-01,6,2,6,4,6,37,31,6.166666666666667,4.333333333333333,0.8888888888888888,0.0,0.0,"{""string"": {""num"": 24, ""format"": [""date-time""]}, ""object"": {""num"": 2, ""format"": []}, ""integer"": {""num"": 4, ""format"": []}, ""boolean"": {""num"": 4, ""format"": []}, ""number"": {""num"": 2, ""format"": []}}","{""get"": 4, ""post"": 2}"
31,apisetu_kotakgeneralinsurance_3_0_0,6,1,6,0,6,36,6,6.0,2.0,0.0,0.6666666666666666,0.0,"{""object"": {""num"": 6, ""format"": []}, ""string"": {""num"": 24, ""format"": [""uuid""]}, ""integer"": {""num"": 6, ""format"": []}}","{""post"": 6}"
32,gisgraphy_4_0_0,6,1,6,6,6,58,23,9.666666666666666,2.0,0.0,0.0,0.5689655172413793,"{""string"": {""num"": 17, ""format"": []}, ""boolean"": {""num"": 13, ""format"": []}, ""number"": {""num"": 11, ""format"": []}, ""integer"": {""num"": 10, ""format"": []}}","{""get"": 6}"
33,adyen_AccountService_3,17,1,17,0,17,112,43,6.588235294117647,1.0,0.0,0.0,0.0,"{""object"": {""num"": 17, ""format"": []}, ""string"": {""num"": 88, ""format"": []}, ""integer"": {""num"": 14, ""format"": []}, ""boolean"": {""num"": 2, ""format"": []}}","{""post"": 17}"
34,apisetu_ucobank_3_0_0,1,1,1,0,1,6,6,6.0,2.0,0.0,0.6666666666666666,0.0,"{""object"": {""num"": 1, ""format"": []}, ""string"": {""num"": 4, ""format"": [""uuid""]}, ""integer"": {""num"": 1, ""format"": []}}","{""post"": 1}"
35,rapidapi_dynamicdocs_1_0,1,1,1,1,1,8,7,8.0,3.0,0.0,0.75,0.125,"{""string"": {""num"": 5, ""format"": []}, ""integer"": {""num"": 2, ""format"": []}, ""object"": {""num"": 1, ""format"": []}}","{""post"": 1}"
36,shotstack_v1,4,3,5,4,5,51,36,10.2,2.0,0.4,0.5490196078431373,0.27450980392156865,"{""string"": {""num"": 15, ""format"": []}, ""object"": {""num"": 1, ""format"": []}, ""boolean"": {""num"": 2, ""format"": []}, ""number"": {""num"": 18, ""format"": []}, ""integer"": {""num"": 2, ""format"": []}}","{""get"": 3, ""delete"": 1, ""post"": 1}"
37,apisetu_hsbte_3_0_0,1,1,1,0,1,6,6,6.0,2.0,0.0,0.6666666666666666,0.0,"{""object"": {""num"": 1, ""format"": []}, ""string"": {""num"": 4, ""format"": [""uuid""]}, ""integer"": {""num"": 1, ""format"": []}}","{""post"": 1}"
38,apisetu_transporthp_3_0_0,2,1,2,0,2,14,9,7.0,2.0,0.0,0.7142857142857143,0.0,"{""object"": {""num"": 2, ""format"": []}, ""string"": {""num"": 10, ""format"": [""uuid""]}, ""integer"": {""num"": 2, ""format"": []}}","{""post"": 2}"
39,googleapis_verifiedaccess_v2,2,1,2,2,2,46,13,23.0,2.0,0.0,0.0,0.0,"{""string"": {""num"": 34, ""format"": [""byte""]}, ""boolean"": {""num"": 4, ""format"": []}, ""object"": {""num"": 2, ""format"": []}}","{""post"": 2}"
40,azure_containerservices-managedClusters_2017-08-31,6,4,8,8,8,56,27,7.0,8.375,3.234375,0.0,0.03571428571428571,"{""string"": {""num"": 50, ""format"": []}, ""object"": {""num"": 1, ""format"": []}, ""integer"": {""num"": 3, ""format"": []}}","{""get"": 5, ""put"": 1, ""delete"": 1, ""post"": 1}"
41,azure_monitor-operations_API_2015-04-01,1,1,1,1,1,1,1,1.0,3.0,0.0,0.0,0.0,"{""string"": {""num"": 1, ""format"": []}}","{""get"": 1}"
42,azure_applicationinsights-webTestLocations_API_2015-05-01,1,1,1,1,1,4,4,4.0,9.0,0.0,0.0,0.0,"{""string"": {""num"": 4, ""format"": []}}","{""get"": 1}"
43,redhat_catalog_inventory_1_0_0,37,3,38,36,37,87,22,2.289473684210526,2.1052631578947367,0.7257617728531857,0.09195402298850575,0.4827586206896552,"{""object"": {""num"": 44, ""format"": []}, ""string"": {""num"": 45, ""format"": [""date-time"", ""uuid""]}, ""integer"": {""num"": 40, ""format"": []}, ""array"": {""num"": 2, ""format"": []}}","{""post"": 5, ""get"": 30, ""patch"": 3}"
44,bikewise_v2,4,1,4,4,4,25,11,6.25,2.5,0.25,0.0,0.16,"{""integer"": {""num"": 14, ""format"": []}, ""string"": {""num"": 6, ""format"": []}, ""boolean"": {""num"": 2, ""format"": []}}","{""get"": 4}"
45,azure_mixedreality_2019-02-28-preview,6,5,10,10,10,42,9,4.2,7.2,3.1599999999999997,0.0,0.0,"{""string"": {""num"": 41, ""format"": []}, ""object"": {""num"": 4, ""format"": []}, ""integer"": {""num"": 1, ""format"": []}}","{""get"": 5, ""post"": 2, ""put"": 1, ""delete"": 1, ""patch"": 1}"
46,hubapi_analytics_v3,1,1,1,0,1,5,5,5.0,3.0,0.0,0.0,0.0,"{""object"": {""num"": 1, ""format"": []}, ""string"": {""num"": 5, ""format"": [""date-time""]}}","{""post"": 1}"
47,hillbillysoftware_shinobi_v1,58,2,58,56,58,133,40,2.293103448275862,4.103448275862069,0.7824019024970272,0.0,0.0,"{""string"": {""num"": 132, ""format"": []}, ""object"": {""num"": 2, ""format"": []}, ""boolean"": {""num"": 1, ""format"": []}}","{""get"": 56, ""post"": 2}"
48,googleapis_libraryagent_v1,5,2,5,5,5,118,15,23.6,2.2,0.15999999999999998,0.0,0.0,"{""integer"": {""num"": 2, ""format"": []}, ""string"": {""num"": 86, ""format"": []}, ""boolean"": {""num"": 10, ""format"": []}}","{""get"": 3, ""post"": 2}"
49,o2_mobility_1_2_0,2,1,2,1,1,5,5,2.5,2.0,1.0,0.0,0.0,"{""string"": {""num"": 5, ""format"": []}}","{""get"": 2}"
50,apisetu_transportnl_3_0_0,2,1,2,0,2,14,9,7.0,2.0,0.0,0.7142857142857143,0.0,"{""object"": {""num"": 2, ""format"": []}, ""string"": {""num"": 10, ""format"": [""uuid""]}, ""integer"": {""num"": 2, ""format"": []}}","{""post"": 2}"
51,trashnothing_1_3,67,4,76,55,69,274,78,3.6052631578947367,2.5789473684210527,0.559556786703601,0.0,0.3029197080291971,"{""string"": {""num"": 175, ""format"": [""binary"", ""date-time""]}, ""integer"": {""num"": 47, ""format"": []}, ""number"": {""num"": 52, ""format"": []}, ""object"": {""num"": 23, ""format"": []}}","{""get"": 29, ""put"": 20, ""delete"": 6, ""post"": 21}"
52,telematicssdk_1_0_0,9,1,9,9,9,38,10,4.222222222222222,4.555555555555555,0.24691358024691354,1.0,0.0,"{""string"": {""num"": 38, ""format"": []}}","{""get"": 9}"
53,googleapis_fcmdata_v1beta1,1,1,1,1,1,25,14,25.0,3.0,0.0,0.0,0.0,"{""string"": {""num"": 18, ""format"": []}, ""integer"": {""num"": 1, ""format"": []}, ""boolean"": {""num"": 2, ""format"": []}}","{""get"": 1}"
54,azure_hdinsight-configurations_2015-03-01-preview,2,2,3,3,3,14,5,4.666666666666667,9.666666666666666,0.2222222222222222,0.0,0.0,"{""string"": {""num"": 14, ""format"": []}, ""object"": {""num"": 1, ""format"": []}}","{""post"": 2, ""get"": 1}"
55,azure_automation-jobSchedule_2015-10-31,2,3,4,4,4,23,8,5.75,9.75,0.1875,0.0,0.0,"{""string"": {""num"": 23, ""format"": [""uuid""]}, ""object"": {""num"": 1, ""format"": []}}","{""get"": 2, ""put"": 1, ""delete"": 1}"
56,apisetu_transportga_3_0_0,2,1,2,0,2,14,9,7.0,2.0,0.0,0.7142857142857143,0.0,"{""object"": {""num"": 2, ""format"": []}, ""string"": {""num"": 10, ""format"": [""uuid""]}, ""integer"": {""num"": 2, ""format"": []}}","{""post"": 2}"
57,azure_automation-account_2015-10-31,7,5,10,10,10,45,9,4.5,7.4,3.44,0.0,0.0,"{""string"": {""num"": 41, ""format"": []}, ""object"": {""num"": 2, ""format"": []}, ""integer"": {""num"": 2, ""format"": []}}","{""get"": 6, ""put"": 1, ""delete"": 1, ""patch"": 1, ""post"": 1}"
58,azure_sql-dataWarehouseUserActivities_2017-03-01-preview,1,1,1,1,1,6,6,6.0,12.0,0.0,0.0,0.0,"{""string"": {""num"": 5, ""format"": []}}","{""get"": 1}"
59,apisetu_revenueodisha_3_0_0,2,1,2,0,2,14,11,7.0,2.0,0.0,0.7142857142857143,0.0,"{""object"": {""num"": 2, ""format"": []}, ""string"": {""num"": 10, ""format"": [""uuid""]}, ""integer"": {""num"": 2, ""format"": []}}","{""post"": 2}"
60,meraki_0_0_0-streaming,184,4,263,262,262,1230,264,4.67680608365019,4.030418250950571,0.9116222585262184,0.0,0.0008130081300813008,"{""string"": {""num"": 825, ""format"": [""date-time"", ""byte""]}, ""number"": {""num"": 53, ""format"": []}, ""integer"": {""num"": 104, ""format"": []}, ""object"": {""num"": 88, ""format"": []}, ""boolean"": {""num"": 108, ""format"": []}, ""array"": {""num"": 2, ""format"": []}}","{""get"": 152, ""put"": 58, ""post"": 37, ""delete"": 16}"
61,azure_azsadmin-CommerceAdmin_2015-06-01-preview,1,1,1,1,1,7,7,7.0,5.0,0.0,0.0,0.14285714285714285,"{""string"": {""num"": 7, ""format"": [""date-time""]}}","{""get"": 1}"
62,apisetu_edistrictandaman_3_0_0,12,1,12,0,12,48,4,4.0,2.0,0.0,0.5,0.0,"{""object"": {""num"": 12, ""format"": []}, ""string"": {""num"": 24, ""format"": [""uuid""]}, ""integer"": {""num"": 12, ""format"": []}}","{""post"": 12}"
63,azure_sql-backupLongTermRetentionPolicies_2014-04-01,2,2,3,3,3,20,9,6.666666666666667,11.666666666666666,0.2222222222222222,0.0,0.0,"{""string"": {""num"": 18, ""format"": []}, ""object"": {""num"": 1, ""format"": []}}","{""get"": 2, ""put"": 1}"
64,peoplefinderspro_1_0_0,5,1,5,0,5,36,14,7.2,2.0,0.0,0.0,0.0,"{""string"": {""num"": 34, ""format"": []}, ""object"": {""num"": 5, ""format"": []}, ""number"": {""num"": 2, ""format"": []}}","{""post"": 5}"
65,azure_resourcehealth_2015-01-01,8,1,8,8,8,30,6,3.75,4.625,1.234375,0.0,0.0,"{""string"": {""num"": 30, ""format"": []}}","{""get"": 8}"
66,hubapi_crm_v3,3,4,6,5,5,30,9,5.0,5.5,0.25,0.0,0.0,"{""integer"": {""num"": 5, ""format"": []}, ""object"": {""num"": 2, ""format"": []}, ""string"": {""num"": 19, ""format"": []}}","{""get"": 3, ""post"": 1, ""delete"": 1, ""patch"": 1}"
67,firmalyzer_iotvas_1_0,8,2,8,7,8,16,10,2.0,2.875,0.109375,0.4375,0.5625,"{""object"": {""num"": 1, ""format"": []}, ""string"": {""num"": 16, ""format"": []}}","{""post"": 1, ""get"": 7}"
68,apisetu_dhsekerala_3_0_0,1,1,1,0,1,8,8,8.0,2.0,0.0,0.75,0.0,"{""object"": {""num"": 1, ""format"": []}, ""string"": {""num"": 6, ""format"": [""uuid""]}, ""integer"": {""num"": 1, ""format"": []}}","{""post"": 1}"
69,azure_automation-dscNode_2018-01-15,7,4,9,9,9,52,12,5.777777777777778,10.444444444444445,1.5802469135802468,0.0,0.0,"{""string"": {""num"": 49, ""format"": []}, ""object"": {""num"": 2, ""format"": []}, ""integer"": {""num"": 2, ""format"": []}}","{""get"": 6, ""post"": 1, ""delete"": 1, ""patch"": 1}"
70,ebay_sell-marketing_v1_14_0,53,4,69,61,68,402,90,5.826086956521739,2.536231884057971,1.089266960722537,0.0,0.0,"{""string"": {""num"": 381, ""format"": []}, ""object"": {""num"": 34, ""format"": []}, ""boolean"": {""num"": 9, ""format"": []}, ""integer"": {""num"": 12, ""format"": []}}","{""get"": 25, ""post"": 34, ""delete"": 5, ""put"": 5}"
71,azure_azsadmin-ProductPackage_2019-01-01,2,3,4,4,4,11,3,2.75,7.75,0.1875,0.0,0.36363636363636365,"{""string"": {""num"": 11, ""format"": []}}","{""get"": 2, ""put"": 1, ""delete"": 1}"
72,nytimes_article_search_1_0_0,1,1,1,1,1,10,10,10.0,1.0,0.0,0.0,0.3,"{""string"": {""num"": 6, ""format"": []}, ""boolean"": {""num"": 2, ""format"": []}, ""integer"": {""num"": 1, ""format"": []}}","{""get"": 1}"
73,azure_network-virtualRouter_2019-07-01,5,4,11,11,11,52,10,4.7272727272727275,8.454545454545455,2.2479338842975203,0.0,0.0,"{""string"": {""num"": 52, ""format"": []}, ""object"": {""num"": 4, ""format"": []}}","{""get"": 5, ""put"": 2, ""delete"": 2, ""patch"": 2}"
74,azure_applicationinsights-webTests_API_2015-05-01,4,4,7,7,7,29,9,4.142857142857143,7.571428571428571,1.3877551020408168,0.0,0.0,"{""string"": {""num"": 29, ""format"": []}, ""object"": {""num"": 2, ""format"": []}}","{""get"": 4, ""put"": 1, ""delete"": 1, ""patch"": 1}"
75,azure_sql-syncMembers_2015-05-01-preview,4,5,7,7,7,54,10,7.714285714285714,14.142857142857142,0.4081632653061224,0.0,0.0,"{""string"": {""num"": 54, ""format"": []}, ""object"": {""num"": 2, ""format"": []}}","{""get"": 3, ""put"": 1, ""delete"": 1, ""patch"": 1, ""post"": 1}"
76,wikipathways_1_0,27,2,27,27,27,88,22,3.259259259259259,1.0,0.0,0.0,0.3068181818181818,"{""string"": {""num"": 53, ""format"": []}, ""array"": {""num"": 4, ""format"": []}, ""integer"": {""num"": 8, ""format"": []}}","{""post"": 1, ""get"": 26}"
77,amadeus_amadeus-location-score_1_0_2,1,1,1,1,1,2,2,2.0,3.0,0.0,0.0,0.0,"{""number"": {""num"": 2, ""format"": []}}","{""get"": 1}"
78,azure_network-natGateway_2019-02-01,3,4,6,6,6,26,9,4.333333333333333,7.333333333333333,1.222222222222222,0.0,0.0,"{""string"": {""num"": 26, ""format"": []}, ""object"": {""num"": 2, ""format"": []}}","{""get"": 3, ""put"": 1, ""delete"": 1, ""patch"": 1}"
79,interzoid_getemailinfo_1_0_0,1,1,1,1,1,2,2,2.0,1.0,0.0,0.0,0.0,"{""string"": {""num"": 2, ""format"": []}}","{""get"": 1}"
80,twilio_twilio_autopilot_v1_1_42_0,25,3,52,50,52,180,34,3.4615384615384617,4.903846153846154,1.6253698224852067,0.0,0.0,"{""integer"": {""num"": 27, ""format"": []}, ""string"": {""num"": 151, ""format"": [""uri""]}, ""object"": {""num"": 20, ""format"": []}, ""boolean"": {""num"": 2, ""format"": []}}","{""get"": 23, ""post"": 20, ""delete"": 9}"
81,azure_web-logicAppsManagementClient_2016-06-01,17,5,26,26,26,148,25,5.6923076923076925,7.615384615384615,0.9289940828402367,0.0,0.0,"{""string"": {""num"": 143, ""format"": []}, ""integer"": {""num"": 3, ""format"": []}, ""object"": {""num"": 11, ""format"": []}}","{""get"": 12, ""post"": 5, ""put"": 3, ""delete"": 3, ""patch"": 3}"
82,twilio_twilio_conversations_v1_1_42_0,47,3,101,91,99,464,78,4.594059405940594,4.465346534653466,2.6250367611018537,0.0,0.0,"{""object"": {""num"": 36, ""format"": []}, ""string"": {""num"": 350, ""format"": [""date-time"", ""uri""]}, ""integer"": {""num"": 52, ""format"": []}, ""boolean"": {""num"": 11, ""format"": []}, ""array"": {""num"": 2, ""format"": []}}","{""get"": 47, ""post"": 36, ""delete"": 18}"
83,azure_monitor-activityLogAlerts_API_2017-03-01-preview,3,4,6,6,6,29,8,4.833333333333333,7.333333333333333,1.222222222222222,0.0,0.0,"{""string"": {""num"": 29, ""format"": []}, ""object"": {""num"": 2, ""format"": []}}","{""get"": 3, ""put"": 1, ""delete"": 1, ""patch"": 1}"
84,blazemeter_4,11,4,14,4,9,10,6,0.7142857142857143,2.142857142857143,0.12244897959183676,0.0,0.1,"{""object"": {""num"": 5, ""format"": []}, ""string"": {""num"": 8, ""format"": []}, ""integer"": {""num"": 2, ""format"": []}}","{""get"": 9, ""post"": 3, ""put"": 1, ""patch"": 1}"
85,openindex_1_0_0,1,1,1,0,1,14,14,14.0,1.0,0.0,0.0,0.07142857142857142,"{""object"": {""num"": 1, ""format"": []}, ""string"": {""num"": 12, ""format"": []}, ""integer"": {""num"": 1, ""format"": []}}","{""post"": 1}"
86,hydramovies_1_1,2,1,2,2,2,2,2,1.0,1.0,0.0,0.0,0.0,"{""string"": {""num"": 2, ""format"": []}}","{""get"": 2}"
87,openaq_2_0_0,36,1,36,27,27,406,38,11.277777777777779,2.861111111111111,2.1751543209876543,0.0,0.23645320197044334,"{""integer"": {""num"": 154, ""format"": []}, ""string"": {""num"": 134, ""format"": [""date-time""]}, ""array"": {""num"": 109, ""format"": []}, ""boolean"": {""num"": 49, ""format"": []}, ""number"": {""num"": 4, ""format"": []}}","{""get"": 36}"
88,sportsdata_nba-v3-rotoballer-premium-news_1_0,3,1,3,3,3,5,3,1.6666666666666667,2.6666666666666665,0.22222222222222224,0.0,0.6,"{""string"": {""num"": 2, ""format"": []}}","{""get"": 3}"
89,apisetu_mizoramlesde_3_0_0,1,1,1,0,1,6,6,6.0,2.0,0.0,0.6666666666666666,0.0,"{""object"": {""num"": 1, ""format"": []}, ""string"": {""num"": 4, ""format"": [""uuid""]}, ""integer"": {""num"": 1, ""format"": []}}","{""post"": 1}"
90,azure_web-AppServiceCertificateOrders_2015-08-01,14,5,20,20,20,113,11,5.65,8.5,1.95,0.0,0.0,"{""string"": {""num"": 112, ""format"": []}, ""object"": {""num"": 9, ""format"": []}, ""boolean"": {""num"": 1, ""format"": []}}","{""get"": 5, ""post"": 9, ""put"": 2, ""delete"": 2, ""patch"": 2}"
91,mailboxvalidator_disposable_1_0_0,1,1,1,1,1,3,3,3.0,3.0,0.0,0.0,0.0,"{""string"": {""num"": 2, ""format"": []}}","{""get"": 1}"
92,apisetu_neilit_3_0_0,1,1,1,0,1,6,6,6.0,2.0,0.0,0.6666666666666666,0.0,"{""object"": {""num"": 1, ""format"": []}, ""string"": {""num"": 4, ""format"": [""uuid""]}, ""integer"": {""num"": 1, ""format"": []}}","{""post"": 1}"
93,va_confirmation_0_0_1,1,1,1,0,1,6,6,6.0,1.0,0.0,1.0,0.0,"{""object"": {""num"": 1, ""format"": []}, ""string"": {""num"": 5, ""format"": []}}","{""post"": 1}"
94,sportsdata_nhl-v3-play-by-play_1_0,2,1,2,2,2,5,4,2.5,3.5,0.25,0.0,0.4,"{""string"": {""num"": 3, ""format"": []}}","{""get"": 2}"
95,shipstation_1_0_0,1,2,2,0,1,2,2,1.0,1.0,0.0,0.0,0.0,"{""object"": {""num"": 1, ""format"": []}, ""string"": {""num"": 2, ""format"": []}}","{""get"": 1, ""post"": 1}"
96,azure_apimanagement-apimapis_2018-06-01-preview,29,5,73,73,73,564,43,7.726027397260274,12.164383561643836,1.4524300994558075,0.0,0.0,"{""string"": {""num"": 519, ""format"": []}, ""integer"": {""num"": 28, ""format"": []}, ""boolean"": {""num"": 6, ""format"": []}, ""object"": {""num"": 16, ""format"": []}}","{""get"": 29, ""put"": 13, ""delete"": 13, ""head"": 13, ""patch"": 5}"
