,SUT,Paths,Methods,Operations,Parametric Operations,Parametered Operations,Used Parameters,Distinct Parameters,Parameters Per Operations,Path Depth,Path Depth Variance,Example Rate,Default Rate,Type,Method Count
15,youtube,39,4,76,76,76,3050,403,40.13157894736842,3.276315789473684,0.1999653739612188,0.0,0.009836065573770493,"{""array"": {""num"": 70, ""format"": []}, ""string"": {""num"": 2011, ""format"": [""date-time"", ""byte""]}, ""boolean"": {""num"": 260, ""format"": []}, ""object"": {""num"": 31, ""format"": []}, ""integer"": {""num"": 187, ""format"": []}, ""number"": {""num"": 10, ""format"": []}}","{""post"": 27, ""get"": 25, ""put"": 11, ""delete"": 13}"
16,google-custom-search,2,1,2,2,2,106,42,53.0,2.5,0.25,0.0,0.0,"{""string"": {""num"": 76, ""format"": []}, ""integer"": {""num"": 4, ""format"": []}, ""boolean"": {""num"": 4, ""format"": []}}","{""get"": 2}"
17,gestaohospital-rest,13,4,20,18,19,95,32,4.75,4.0,1.0,0.0,0.0,"{""object"": {""num"": 6, ""format"": []}, ""string"": {""num"": 67, ""format"": [""date-time""]}, ""integer"": {""num"": 8, ""format"": []}, ""number"": {""num"": 16, ""format"": []}, ""boolean"": {""num"": 2, ""format"": []}}","{""get"": 10, ""post"": 5, ""put"": 3, ""delete"": 2}"
18,ohsome,122,2,244,244,244,3098,78,12.69672131147541,4.327868852459017,1.5318462778822897,0.0,0.4506132989025178,"{""string"": {""num"": 2592, ""format"": []}}","{""get"": 122, ""post"": 122}"
19,cwa-verfication,5,1,5,0,5,13,8,2.6,3.4,0.24,0.0,0.0,"{""string"": {""num"": 12, ""format"": []}, ""object"": {""num"": 5, ""format"": []}}","{""post"": 5}"
20,scs,11,1,11,11,11,26,23,2.3636363636363638,4.363636363636363,0.5950413223140495,0.0,0.0,"{""number"": {""num"": 2, ""format"": []}, ""string"": {""num"": 22, ""format"": []}, ""integer"": {""num"": 2, ""format"": []}}","{""get"": 11}"
21,catwatch,17,7,23,7,9,81,44,3.5217391304347827,1.173913043478261,0.14366729678638943,0.0,0.0,"{""string"": {""num"": 48, ""format"": [""date-time""]}, ""integer"": {""num"": 34, ""format"": []}, ""object"": {""num"": 1, ""format"": []}}","{""get"": 15, ""post"": 3, ""put"": 1, ""delete"": 1, ""options"": 1, ""head"": 1, ""patch"": 1}"
22,ncs,6,1,6,6,6,14,6,2.3333333333333335,4.333333333333333,0.22222222222222224,0.0,0.0,"{""integer"": {""num"": 9, ""format"": []}, ""number"": {""num"": 5, ""format"": []}}","{""get"": 6}"
23,travels,10,4,13,7,13,97,31,7.461538461538462,3.6153846153846154,0.5443786982248521,0.041237113402061855,0.2268041237113402,"{""string"": {""num"": 75, ""format"": [""date""]}, ""object"": {""num"": 6, ""format"": []}, ""integer"": {""num"": 16, ""format"": []}, ""boolean"": {""num"": 4, ""format"": []}, ""number"": {""num"": 2, ""format"": []}}","{""post"": 5, ""get"": 6, ""put"": 1, ""delete"": 1}"
24,Route,14,2,14,14,14,190,58,13.571428571428571,1.9285714285714286,0.06632653061224487,0.021052631578947368,0.031578947368421054,"{""string"": {""num"": 49, ""format"": [""date-time""]}, ""integer"": {""num"": 38, ""format"": []}, ""boolean"": {""num"": 24, ""format"": []}, ""object"": {""num"": 6, ""format"": []}}","{""get"": 8, ""post"": 6}"
25,springboot,6,7,13,0,3,1,1,0.07692307692307693,1.2307692307692308,0.1775147928994083,0.0,0.0,"{""object"": {""num"": 3, ""format"": []}, ""string"": {""num"": 1, ""format"": []}}","{""get"": 6, ""post"": 2, ""put"": 1, ""delete"": 1, ""options"": 1, ""head"": 1, ""patch"": 1}"
26,pay-publicapi,13,2,16,13,16,69,38,4.3125,3.0625,1.05859375,0.37681159420289856,0.0,"{""string"": {""num"": 59, ""format"": []}, ""object"": {""num"": 4, ""format"": []}, ""integer"": {""num"": 3, ""format"": []}, ""boolean"": {""num"": 2, ""format"": []}}","{""get"": 9, ""post"": 7}"
27,google-analytics,43,5,88,88,88,2517,140,28.602272727272727,6.340909090909091,4.633780991735537,0.0,0.05045689312673818,"{""string"": {""num"": 1935, ""format"": [""date-time""]}, ""boolean"": {""num"": 280, ""format"": []}, ""integer"": {""num"": 111, ""format"": []}, ""object"": {""num"": 42, ""format"": []}, ""number"": {""num"": 12, ""format"": []}}","{""get"": 35, ""post"": 20, ""put"": 13, ""delete"": 10, ""patch"": 10}"
28,omdb,1,1,1,1,1,9,9,9.0,0.0,0.0,0.0,0.0,"{""string"": {""num"": 4, ""format"": []}, ""integer"": {""num"": 2, ""format"": []}}","{""get"": 1}"
29,languageTool,2,2,2,0,1,11,11,5.5,1.0,0.0,0.0,0.09090909090909091,"{""object"": {""num"": 1, ""format"": []}, ""string"": {""num"": 10, ""format"": []}, ""boolean"": {""num"": 1, ""format"": []}}","{""post"": 1, ""get"": 1}"
30,google-drive,28,4,48,48,48,1732,226,36.083333333333336,2.8333333333333335,1.8472222222222223,0.0,0.028868360277136258,"{""string"": {""num"": 1046, ""format"": [""date-time"", ""byte"", ""date""]}, ""boolean"": {""num"": 501, ""format"": []}, ""integer"": {""num"": 52, ""format"": []}, ""object"": {""num"": 18, ""format"": []}, ""number"": {""num"": 36, ""format"": []}}","{""get"": 20, ""post"": 13, ""delete"": 8, ""patch"": 7}"
31,news,4,4,7,5,6,19,7,2.7142857142857144,1.7142857142857142,0.489795918367347,0.0,0.0,"{""string"": {""num"": 19, ""format"": [""date-time""]}, ""object"": {""num"": 2, ""format"": []}, ""integer"": {""num"": 1, ""format"": []}}","{""get"": 3, ""post"": 1, ""put"": 2, ""delete"": 1}"
32,owasp,4,4,10,6,8,28,11,2.8,1.6,0.24000000000000005,0.0,0.0,"{""object"": {""num"": 4, ""format"": []}, ""string"": {""num"": 14, ""format"": []}, ""integer"": {""num"": 12, ""format"": []}, ""number"": {""num"": 2, ""format"": []}}","{""get"": 4, ""post"": 2, ""put"": 2, ""delete"": 2}"
33,user,10,6,22,9,13,64,25,2.909090909090909,2.4545454545454546,2.520661157024794,0.0,0.0,"{""object"": {""num"": 4, ""format"": []}, ""string"": {""num"": 50, ""format"": [""date""]}, ""boolean"": {""num"": 4, ""format"": []}, ""integer"": {""num"": 11, ""format"": []}}","{""get"": 6, ""put"": 2, ""post"": 7, ""delete"": 5, ""head"": 1, ""patch"": 1}"
34,petstore,13,4,19,12,17,64,19,3.3684210526315788,2.0,0.3157894736842105,0.5625,0.015625,"{""object"": {""num"": 5, ""format"": []}, ""integer"": {""num"": 21, ""format"": []}, ""string"": {""num"": 39, ""format"": [""binary"", ""date-time""]}, ""array"": {""num"": 2, ""format"": []}, ""boolean"": {""num"": 1, ""format"": []}}","{""put"": 2, ""post"": 6, ""get"": 8, ""delete"": 3}"
35,gitlab-repository,9,2,10,10,10,109,92,10.9,3.7,2.21,0.0,0.11926605504587157,"{""boolean"": {""num"": 35, ""format"": []}, ""integer"": {""num"": 14, ""format"": []}, ""string"": {""num"": 40, ""format"": [""date-time""]}, ""array"": {""num"": 2, ""format"": []}, ""object"": {""num"": 1, ""format"": []}}","{""get"": 8, ""post"": 2}"
36,bitbucket_server,23,4,32,32,32,283,65,8.84375,7.6875,2.40234375,0.0,0.0176678445229682,"{""string"": {""num"": 186, ""format"": []}, ""integer"": {""num"": 55, ""format"": []}, ""object"": {""num"": 7, ""format"": []}, ""boolean"": {""num"": 18, ""format"": []}}","{""get"": 21, ""post"": 5, ""put"": 2, ""delete"": 4}"
37,TimeZone,4,1,4,4,4,20,8,5.0,1.75,0.1875,0.0,0.2,"{""string"": {""num"": 5, ""format"": [""date-time""]}, ""boolean"": {""num"": 4, ""format"": []}}","{""get"": 4}"
38,google-fitness,7,5,13,13,13,399,57,30.692307692307693,3.230769230769231,1.2544378698224852,0.0,0.0,"{""string"": {""num"": 283, ""format"": []}, ""array"": {""num"": 2, ""format"": []}, ""boolean"": {""num"": 29, ""format"": []}, ""object"": {""num"": 5, ""format"": []}, ""integer"": {""num"": 23, ""format"": []}, ""number"": {""num"": 2, ""format"": []}}","{""get"": 5, ""post"": 2, ""put"": 2, ""delete"": 3, ""patch"": 1}"
39,toggle,8,4,16,9,13,39,11,2.4375,2.6875,0.33984375,0.0,0.0,"{""object"": {""num"": 7, ""format"": []}, ""string"": {""num"": 19, ""format"": []}, ""integer"": {""num"": 18, ""format"": []}, ""boolean"": {""num"": 2, ""format"": []}}","{""get"": 7, ""post"": 4, ""put"": 3, ""delete"": 2}"
40,erc20,13,2,13,11,12,29,12,2.230769230769231,1.9230769230769231,0.22485207100591711,0.0,0.0,"{""string"": {""num"": 25, ""format"": []}, ""object"": {""num"": 5, ""format"": []}, ""integer"": {""num"": 4, ""format"": []}}","{""get"": 8, ""post"": 5}"
41,springbatch,4,2,5,3,4,7,6,1.4,1.4,0.24,0.0,0.14285714285714285,"{""string"": {""num"": 4, ""format"": []}, ""integer"": {""num"": 2, ""format"": []}, ""object"": {""num"": 1, ""format"": []}, ""boolean"": {""num"": 1, ""format"": []}}","{""get"": 4, ""post"": 1}"
42,spree,31,4,35,28,31,106,37,3.0285714285714285,4.885714285714286,0.3869387755102041,0.08490566037735849,0.0,"{""string"": {""num"": 93, ""format"": []}, ""object"": {""num"": 33, ""format"": []}, ""integer"": {""num"": 9, ""format"": []}, ""number"": {""num"": 1, ""format"": []}, ""boolean"": {""num"": 3, ""format"": []}}","{""get"": 18, ""post"": 6, ""patch"": 9, ""delete"": 2}"
43,fdic,6,1,6,6,6,73,16,12.166666666666666,1.0,0.0,0.0,0.3561643835616438,"{""array"": {""num"": 6, ""format"": []}, ""string"": {""num"": 35, ""format"": []}, ""integer"": {""num"": 15, ""format"": []}, ""number"": {""num"": 1, ""format"": []}}","{""get"": 6}"
44,gitlab-projects,24,4,31,31,31,311,109,10.03225806451613,2.935483870967742,0.5119667013527577,0.0,0.05466237942122187,"{""boolean"": {""num"": 134, ""format"": []}, ""integer"": {""num"": 48, ""format"": []}, ""string"": {""num"": 73, ""format"": [""date-time"", ""date""]}, ""array"": {""num"": 4, ""format"": []}, ""object"": {""num"": 3, ""format"": []}}","{""get"": 11, ""post"": 13, ""put"": 3, ""delete"": 4}"
45,station_service,34,7,44,10,15,25,10,0.5681818181818182,1.8409090909090908,2.270144628099174,0.0,0.08,"{""object"": {""num"": 4, ""format"": []}, ""string"": {""num"": 20, ""format"": [""date-time""]}, ""integer"": {""num"": 3, ""format"": []}, ""array"": {""num"": 2, ""format"": []}, ""boolean"": {""num"": 2, ""format"": []}}","{""get"": 32, ""put"": 2, ""post"": 5, ""delete"": 2, ""options"": 1, ""head"": 1, ""patch"": 1}"
46,reservations-api,5,4,7,2,6,15,9,2.142857142857143,2.5714285714285716,0.24489795918367344,0.0,0.0,"{""object"": {""num"": 4, ""format"": []}, ""string"": {""num"": 15, ""format"": [""date-time""]}}","{""get"": 2, ""put"": 1, ""post"": 3, ""delete"": 1}"
47,Elevations,4,1,4,4,4,14,7,3.5,2.0,0.0,0.0,0.0,"{""string"": {""num"": 5, ""format"": []}, ""integer"": {""num"": 2, ""format"": []}}","{""get"": 4}"
48,VAmPI,12,4,14,5,8,14,5,1.0,2.4285714285714284,1.2448979591836735,1.0,0.0,"{""object"": {""num"": 5, ""format"": []}, ""string"": {""num"": 14, ""format"": []}}","{""get"": 8, ""post"": 3, ""delete"": 1, ""put"": 2}"
49,Imagery,10,1,10,10,10,151,32,15.1,4.4,1.2399999999999998,0.0,0.013245033112582781,"{""string"": {""num"": 46, ""format"": [""date-time""]}, ""number"": {""num"": 3, ""format"": []}, ""integer"": {""num"": 31, ""format"": []}}","{""get"": 10}"
50,features-service,11,4,18,17,17,35,8,1.9444444444444444,3.6666666666666665,1.666666666666667,0.0,0.0,"{""string"": {""num"": 34, ""format"": []}, ""object"": {""num"": 4, ""format"": []}, ""integer"": {""num"": 1, ""format"": []}}","{""get"": 6, ""post"": 6, ""delete"": 5, ""put"": 1}"
51,gitlab-branch,6,3,9,9,9,96,83,10.666666666666666,3.4444444444444446,2.0246913580246915,0.0,0.09375,"{""boolean"": {""num"": 34, ""format"": []}, ""integer"": {""num"": 11, ""format"": []}, ""string"": {""num"": 31, ""format"": [""date-time""]}, ""array"": {""num"": 1, ""format"": []}, ""object"": {""num"": 1, ""format"": []}}","{""get"": 3, ""post"": 3, ""delete"": 3}"
